District,Title,ProjectId,Reference,Leads2026,BudgetCredits2026,BudgetAED2026,CPLCredits2026,CPLAED2026,Months2026
Dubai Land,La Tilia at Villanova 2,4a1462c4-820a-43d4-9eda-d192025ef299,4a1462c4-820a-43d4-9eda-d192025ef299,7,1638,2129.4,234,304.2,"2026-01,2026-03"
Al Shamkha,PUD Residences 1,8b14a9ce-7b73-4091-93da-cd5c27a54ecf,8b14a9ce-7b73-4091-93da-cd5c27a54ecf,11,958,1245.4,87.09,113.22,"2026-01,2026-03"
Al Marjan Island,Playa Del Sol,9a326774-d6f7-4c87-a894-d7324d5468d0,9a326774-d6f7-4c87-a894-d7324d5468d0,6,875,1137.5,145.83,189.58,2026-03
Al Mamzar - Sharjah,S1 Tower,85558a5f-12be-4f86-bcd3-e884d1535e17,85558a5f-12be-4f86-bcd3-e884d1535e17,5,775,1007.5,155,201.5,"2026-01,2026-02"
Sharjah,Arim Villas And Townhouses,c1166989-e775-473c-8c1c-fdc099436d1f,c1166989-e775-473c-8c1c-fdc099436d1f,5,775,1007.5,155,201.5,"2026-01,2026-02"
Masdar City,The Gate Masdar City,40761b77-2241-440f-a140-77970f6187c2,40761b77-2241-440f-a140-77970f6187c2,4,675,877.5,168.75,219.38,"2026-01,2026-02,2026-03"
Palm Jebel Ali,Palm Jebel Ali Frond B,ef493980-95a1-4ed4-ab02-a78253dfec0e,ef493980-95a1-4ed4-ab02-a78253dfec0e,3,600,780,200,260,2026-03
Sharjah Waterfront City,Blue Pearls At Bluebay Walk,904ba31f-7594-4ad3-b437-c65a8480f76a,904ba31f-7594-4ad3-b437-c65a8480f76a,3,475,617.5,158.33,205.83,"2026-01,2026-02"
Al Alia,Rockhill Tower,e1d3c48e-c2e4-45db-ac13-e807aa540f34,e1d3c48e-c2e4-45db-ac13-e807aa540f34,3,450,585,150,195,2026-01
Al Khan,Pearl Tower,0c6b4897-7bec-4d62-9caf-31ea7c521ccd,0c6b4897-7bec-4d62-9caf-31ea7c521ccd,3,450,585,150,195,2026-01
Dubai Marina,Liv Lux,c15f2a78-fb39-4ba8-b249-551c4a07954e,c15f2a78-fb39-4ba8-b249-551c4a07954e,3,450,585,150,195,2026-01
Khalifa City,Granada,9de9be88-a365-4532-add3-5a5c0a644a2c,9de9be88-a365-4532-add3-5a5c0a644a2c,4,372,483.6,93,120.9,2026-01
Dubai Studio City,Ryah Living,6e58780b-2cc1-427e-84c8-0d42968d33f8,6e58780b-2cc1-427e-84c8-0d42968d33f8,2,325,422.5,162.5,211.25,"2026-01,2026-02"
Business Bay,The Crestmark,db75f3c6-84e7-42bd-8c80-a7c474d04d59,db75f3c6-84e7-42bd-8c80-a7c474d04d59,2,300,390,150,195,2026-01
Dubai Industrial City,Samana Hills South,fcf6341a-cf9c-4e7a-a9d3-da8ee483e4d5,fcf6341a-cf9c-4e7a-a9d3-da8ee483e4d5,2,300,390,150,195,2026-02
Jumeirah Beach Residence,The Residences Al Habtoor Grand,498a9b45-b4e3-4f1e-b0a2-483ac30776fe,498a9b45-b4e3-4f1e-b0a2-483ac30776fe,2,300,390,150,195,2026-01
Living Legends,Living Legends Phase 5,e383b11a-7303-4da3-ac3f-8b91c0950f47,e383b11a-7303-4da3-ac3f-8b91c0950f47,2,300,390,150,195,2026-01
Sheikh Zayed Road,City Tower Phase 1 By H & H,ceea3012-5d53-4438-9d27-aa0266a269f4,ceea3012-5d53-4438-9d27-aa0266a269f4,2,300,390,150,195,2026-01
Yas Island,Balghaiylam,f52c999e-80de-4eb9-813a-bdf2bbc44221,f52c999e-80de-4eb9-813a-bdf2bbc44221,1,300,390,300,390,2026-04
Dubai Investment Park (DIP),Damac Riverside Views - Marine 2,e38fd919-e9d3-4f5f-a911-69bcf680587d,e38fd919-e9d3-4f5f-a911-69bcf680587d,2,244,317.2,122,158.6,2026-03
Al Shamkha,Right Capital 1,b8fa53e0-925a-4004-bc47-f8b999eb06b8,b8fa53e0-925a-4004-bc47-f8b999eb06b8,1,175,227.5,175,227.5,2026-02
Business Bay,Symphony Tower,24dbdcf1-a75c-46ca-a228-cde1029dddef,24dbdcf1-a75c-46ca-a228-cde1029dddef,1,175,227.5,175,227.5,2026-02
Muwaileh,Suroor By Alef Group,f7c1277b-eccf-49eb-a27e-ee89503533da,f7c1277b-eccf-49eb-a27e-ee89503533da,1,175,227.5,175,227.5,2026-02
Other,Unknown Project,bb9c7296-09af-42f4-ab43-3afdfa21c0da,bb9c7296-09af-42f4-ab43-3afdfa21c0da,1,175,227.5,175,227.5,2026-02
Sharjah Waterfront City,Blue Waves At Bluebay Walk,fc881be4-cafd-4b92-9578-6d7cb6774c65,fc881be4-cafd-4b92-9578-6d7cb6774c65,1,175,227.5,175,227.5,2026-02
Al Reem Island,Radiant Wave,2550decc-51d5-49ca-8f6a-f51166b99c7c,2550decc-51d5-49ca-8f6a-f51166b99c7c,2,172,223.6,86,111.8,2026-01
Al Marjan Island,Danah Bay,c1ef4b0c-e038-4fcd-aa49-36c6b3ad8047,c1ef4b0c-e038-4fcd-aa49-36c6b3ad8047,2,150,195,75,97.5,2026-01
